NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
776,PIMLICO,529671,178333,Victoria,London Underground,Yes,,,,1,-0.13,51.49,Yes
777,VAUXHALL LU,530337,177973,Victoria,London Underground,Yes,,,,"1,2",-0.12,51.49,Yes
778,BRIXTON LU,531052,175429,Victoria,London Underground,Yes,,,,2,-0.11,51.46,Yes
779,HATTON CROSS,509608,175363,Piccadilly,London Underground,Yes,,,,"5,6",-0.42,51.47,Yes
780,HEATHROW TERMINALS 123 LU,507586,175840,Piccadilly,London Underground,Yes,,,,6,-0.45,51.47,Yes
781,HEATHROW TERMINAL 4 LU,508082,174430,Piccadilly,London Underground,Yes,,,,6,-0.44,51.46,Yes
783,HEATHROW TERMINAL 5 LU,505109,175924,Piccadilly,London Underground,Yes,,,,6,-0.49,51.47,Yes
784,SOUTHWARK,531592,180074,Jubilee,London Underground,Yes,,,,1,-0.10,51.50,Yes
787,BERMONDSEY,534460,179416,Jubilee,London Underground,Yes,,,,2,-0.06,51.50,Yes
788,CANADA WATER,535475,179472,"Jubilee, London Overground",London Underground,Yes,,Yes,,2,-0.05,51.50,Yes
789,NORTH GREENWICH,539216,179859,Jubilee,London Underground,Yes,,,,"2,3",0.01,51.50,Yes
831,NINE ELMS,530058,177332,Northern,London Underground,Yes,,,,1,-0.13,51.48,No
832,BATTERSEA POWER STATION,529122,177252,Northern,London Underground,Yes,,,,1,-0.14,51.48,No
842,CANARY WHARF DLR,537450,180322,DLR,,,,,Yes,2,-0.02,51.50,No
850,ALL SAINTS,537979,180993,DLR,,,,,Yes,2,-0.01,51.51,No
851,BOW CHURCH,537393,182829,DLR,,,,,Yes,2,-0.02,51.53,No
852,CANARY WHARF LU,537677,180140,Jubilee,London Underground,Yes,,,,2,-0.02,51.50,Yes
853,LANGDON PARK,537894,181442,DLR,,,,,Yes,2,-0.01,51.51,No
854,CROSSHARBOUR,537927,179309,DLR,,,,,Yes,2,-0.01,51.50,No
855,HERON QUAYS,537421,180122,DLR,,,,,Yes,2,-0.02,51.50,No
856,ISLAND GARDENS,538227,178444,DLR,,,,,Yes,2,-0.01,51.49,No
857,MUDCHUTE,537904,178750,DLR,,,,,Yes,2,-0.01,51.49,No
858,POPLAR,537701,180617,DLR,,,,,Yes,2,-0.02,51.51,No
859,PUDDING MILL LANE,537847,183568,DLR,,,,,Yes,"2,3",-0.01,51.53,No
860,SHADWELL DLR,534947,180986,DLR,,,,,Yes,2,-0.06,51.51,No
861,SOUTH QUAY,537597,179824,DLR,,,,,Yes,2,-0.02,51.50,No
862,LIMEHOUSE DLR,536127,181086,DLR,,,,,Yes,2,-0.04,51.51,No
864,TOWER GATEWAY,533706,180834,DLR,,,,,Yes,1,-0.07,51.51,No
865,WESTFERRY,537023,180798,DLR,,,,,Yes,2,-0.03,51.51,No
866,WEST INDIA QUAY,537495,180586,DLR,,,,,Yes,2,-0.02,51.51,No
867,DEVONS ROAD,537639,182257,DLR,,,,,Yes,2,-0.02,51.52,No
879,CUTTY SARK,538206,177733,DLR,,,,,Yes,"2,3",-0.01,51.48,No
882,BLACKWALL,538398,180664,DLR,,,,,Yes,2,-0.01,51.51,No
883,EAST INDIA,538732,180831,DLR,,,,,Yes,"2,3",0.00,51.51,No
884,CANNING TOWN,539428,181377,"DLR, Jubilee ",London Underground,Yes,,,Yes,"2,3",0.01,51.51,Yes
886,ROYAL VICTORIA,540122,180852,DLR,,,,,Yes,3,0.02,51.51,No
887,CUSTOM HOUSE,540731,180925,"DLR, TfL Rail",,,Yes,,Yes,3,0.03,51.51,No
888,PRINCE REGENT,541264,180899,DLR,,,,,Yes,3,0.04,51.51,No
889,STAR LANE,539145,182115,DLR,,,,,Yes,"2,3",0.01,51.52,No
890,ROYAL ALBERT,542077,180815,DLR,,,,,Yes,3,0.05,51.51,No
891,BECKTON PARK,542705,180873,DLR,,,,,Yes,3,0.06,51.51,No
893,CYPRUS,543331,180860,DLR,,,,,Yes,3,0.07,51.51,No
894,GALLIONS REACH,543872,180929,DLR,,,,,Yes,3,0.07,51.51,No
895,BECKTON,543165,181514,DLR,,,,,Yes,3,0.06,51.51,No
897,DEPTFORD BRIDGE,537438,176892,DLR,,,,,Yes,"2,3",-0.02,51.47,No
898,ELVERSON ROAD,537877,176280,DLR,,,,,Yes,"2,3",-0.01,51.47,No
928,GREENWICH,538052,177334,DLR,,,,,Yes,"2,3",-0.01,51.48,No
940,LEWISHAM DLR,538046,175946,DLR,,,,,Yes,"2,3",-0.01,51.47,No
1022,HAGGERSTON,533560,183992,London Overground,,,,Yes,,2,-0.07,51.54,Yes
1023,HOXTON,533576,183148,London Overground,,,,Yes,,"1,2",-0.07,51.53,Yes
1024,SHOREDITCH HIGH STREET,533555,182248,London Overground,,,,Yes,,1,-0.07,51.52,Yes
1039,ROTHERHITHE,535299,179811,London Overground,,,,Yes,,2,-0.05,51.50,Yes
1082,SHADWELL LO,534932,180932,London Overground,,,,Yes,,2,-0.06,51.51,Yes
1083,SURREY QUAYS,535631,178962,London Overground,,,,Yes,,2,-0.05,51.49,Yes
1085,WAPPING,535023,180174,London Overground,,,,Yes,,2,-0.05,51.50,Yes
1335,BARKING RIVERSIDE,546824,182141,London Overground,,,,Yes,,4,0.11,51.52,No
1395,BUSHEY,511823,195237,London Overground,,,,Yes,,8,-0.38,51.64,No
1398,HATCH END,513054,191323,London Overground,,,,Yes,,6,-0.37,51.61,No
1402,WATFORD JUNCTION,511021,197351,London Overground,,,,Yes,,8,-0.39,51.66,No
1404,ACTON CENTRAL,520296,181196,London Overground,,,,Yes,,3,-0.26,51.51,No
1409,GOSPEL OAK,528277,185673,London Overground,,,,Yes,,2,-0.15,51.55,No
1413,HAMPSTEAD HEATH,527265,185636,London Overground,,,,Yes,,2,-0.16,51.55,No
1415,KILBURN HIGH ROAD,525475,183594,London Overground,,,,Yes,,2,-0.19,51.54,No
1421,WEST HAMPSTEAD LO,525579,184651,London Overground,,,,Yes,,2,-0.19,51.55,No
1429,DALSTON KINGSLAND,533528,185027,London Overground,,,,Yes,,2,-0.07,51.55,No
1437,BRONDESBURY,524760,184467,London Overground,,,,Yes,,2,-0.20,51.54,No
1438,BRONDESBURY PARK,524227,183953,London Overground,,,,Yes,,2,-0.21,51.54,No
1439,CALEDONIAN ROAD & BARNSBURY,530765,184374,London Overground,,,,Yes,,2,-0.11,51.54,No
1440,CAMDEN ROAD,529171,184178,London Overground,,,,Yes,,2,-0.14,51.54,No
1441,CANONBURY,532384,185035,London Overground,,,,Yes,,2,-0.09,51.55,Yes
1442,CARPENDERS PARK,511833,193398,London Overground,,,,Yes,,7,-0.38,51.63,No
1443,DALSTON JUNCTION,533578,184692,London Overground,,,,Yes,,2,-0.07,51.54,Yes
1444,EUSTON NR,529608,182690,London Overground,,,,Yes,,1,-0.13,51.53,No
1445,FINCHLEY ROAD & FROGNAL,526063,185057,London Overground,,,,Yes,,2,-0.18,51.55,No
1448,KENSAL RISE,523578,183250,London Overground,,,,Yes,,2,-0.22,51.53,No
1449,KENTISH TOWN WEST,528597,184691,London Overground,,,,Yes,,2,-0.15,51.55,No
1451,SOUTH HAMPSTEAD,526369,184096,London Overground,,,,Yes,,2,-0.18,51.54,No
1452,SOUTH ACTON,520148,179250,London Overground,,,,Yes,,3,-0.27,51.50,No
1455,WATFORD HIGH STREET,511326,196075,London Overground,,,,Yes,,8,-0.39,51.65,No
1524,UPPER HOLLOWAY,529776,186621,London Overground,,,,Yes,,2,-0.13,51.56,No
3000,ACTON MAIN LINE,520357,182233,TfL Rail,,,Yes,,,3,-0.27,51.52,No
3087,PADDINGTON NR,526659,181314,TfL Rail,,,Yes,,,1,-0.17,51.52,No
3147,MAIDENHEAD,488724,180745,TfL Rail,,,Yes,,,-1,-0.72,51.52,No
3149,READING,471527,173813,TfL Rail,,,Yes,,,-1,-0.97,51.46,No
3151,TAPLOW,491579,181340,TfL Rail,,,Yes,,,-1,-0.68,51.52,No
3155,TWYFORD,479041,175787,TfL Rail,,,Yes,,,-1,-0.86,51.48,No
3170,IVER,503729,179898,TfL Rail,,,Yes,,,-1,-0.51,51.51,No
3171,LANGLEY,501299,179800,TfL Rail,,,Yes,,,-1,-0.54,51.51,No
3172,SLOUGH,497838,180157,TfL Rail,,,Yes,,,-1,-0.59,51.51,No
3174,WEST DRAYTON,506124,180122,TfL Rail,,,Yes,,,6,-0.47,51.51,No
3176,BURNHAM,494007,181378,TfL Rail,,,Yes,,,-1,-0.65,51.52,No
3186,HEADSTONE LANE,513869,190584,London Overground,,,,Yes,,5,-0.36,51.60,No
3186,HAYES AND HARLINGTON,509717,179417,TfL Rail,,,Yes,,,5,-0.42,51.50,No
3187,SOUTHALL,512620,179804,TfL Rail,,,Yes,,,4,-0.38,51.51,No
3188,WEST EALING,516690,180749,TfL Rail,,,Yes,,,3,-0.32,51.51,No
3191,HANWELL,514944,180392,TfL Rail,,,Yes,,,4,-0.34,51.51,No
5131,ABBEY WOOD,547297,179002,TfL Rail,,,Yes,,,4,0.00,51.53,No
5150,NEW CROSS,536751,177109,London Overground,,,,Yes,,2,-0.03,51.48,No
5301,CLAPHAM HIGH STREET,529804,175717,London Overground,,,,Yes,,2,-0.13,51.47,No
5345,NEW CROSS GATE,536195,176937,London Overground,,,,Yes,,2,-0.04,51.47,Yes
5356,CRYSTAL PALACE,534111,170555,London Overground,,,,Yes,,"3,4",-0.07,51.42,No
5362,FOREST HILL,535400,172936,London Overground,,,,Yes,,3,-0.05,51.44,No
5372,WANDSWORTH ROAD,529390,176196,London Overground,,,,Yes,,2,-0.14,51.47,No
5376,NORWOOD JUNCTION,534012,168233,London Overground,,,,Yes,,4,-0.07,51.40,No
5378,PENGE WEST,534942,170503,London Overground,,,,Yes,,4,-0.06,51.42,No
5397,ANERLEY,534617,169899,London Overground,,,,Yes,,4,-0.06,51.41,No
5404,BROCKLEY,536431,175789,London Overground,,,,Yes,,2,-0.04,51.46,No
5411,WEST CROYDON NR,532133,166072,London Overground,,,,Yes,,5,-0.10,51.38,No
5418,HONOR OAK PARK,535896,174137,London Overground,,,,Yes,,3,-0.04,51.45,No
5420,BATTERSEA PARK,528703,176999,London Overground,,,,Yes,,2,-0.15,51.48,No
5421,DENMARK HILL,532792,176078,London Overground,,,,Yes,,2,-0.09,51.47,No
5423,PECKHAM RYE,534222,176360,London Overground,,,,Yes,,2,-0.07,51.47,No
5424,QUEENS ROAD PECKHAM,535011,176751,London Overground,,,,Yes,,2,-0.06,51.47,No
5437,SYDENHAM,535369,171585,London Overground,,,,Yes,,3,-0.05,51.43,No
5595,CLAPHAM JUNCTION,527211,175416,London Overground,,,,Yes,,2,-0.17,51.46,No
6560,CANARY WHARF EL,537650,180451,TfL Rail,,,Yes,,,2,-0.02,51.51,No
6562,WOOLWICH,543931,178994,TfL Rail,,,Yes,,,4,0.07,51.49,No
6814,CHESHUNT,536644,202316,London Overground,,,,Yes,,8,-0.02,51.70,No
6867,HACKNEY DOWNS,534551,185122,London Overground,,,,Yes,,2,-0.06,51.55,No
6872,BRENTWOOD,559339,193033,TfL Rail,,,Yes,,,9,0.30,51.61,No
6874,CHADWELL HEATH,547676,187607,TfL Rail,,,Yes,,,5,0.13,51.57,No
6876,FOREST GATE,540470,185339,TfL Rail,,,Yes,,,3,0.03,51.55,No
6877,GIDEA PARK,552906,189285,TfL Rail,,,Yes,,,6,0.21,51.58,No
6878,GOODMAYES,546398,187292,TfL Rail,,,Yes,,,4,0.11,51.57,No
6879,HAROLD WOOD,554777,190568,TfL Rail,,,Yes,,,6,0.23,51.59,No
6881,ILFORD,543535,186486,TfL Rail,,,Yes,,,4,0.07,51.56,No
6883,MANOR PARK,541951,185707,TfL Rail,,,Yes,,,4,0.05,51.55,No
6886,ROMFORD,551387,188501,"London Overground, TfL Rail",,,Yes,Yes,,6,0.18,51.57,No
6888,SHENFIELD,561361,194981,TfL Rail,,,Yes,,,-1,0.33,51.63,No
6893,SEVEN KINGS,545454,187093,TfL Rail,,,Yes,,,4,0.10,51.56,No
6913,BUSH HILL PARK,533690,195389,London Overground,,,,Yes,,5,-0.07,51.64,No
6914,CHINGFORD,539210,194632,London Overground,,,,Yes,,5,0.01,51.63,No
6919,HIGHAMS PARK,538582,191843,London Overground,,,,Yes,,4,0.00,51.61,No
6926,CLAPTON,534775,186528,London Overground,,,,Yes,,"2,3",-0.06,51.56,No
6934,STOKE NEWINGTON,533723,186850,London Overground,,,,Yes,,2,-0.07,51.56,No
6941,EDMONTON GREEN,534318,193573,London Overground,,,,Yes,,4,-0.06,51.62,No
6947,SOUTHBURY,534904,196237,London Overground,,,,Yes,,5,-0.05,51.65,No
6949,THEOBALDS GROVE,535936,201110,London Overground,,,,Yes,,7,-0.03,51.69,No
6952,TURKEY STREET,535121,198870,London Overground,,,,Yes,,6,-0.05,51.67,No
6954,WOOD STREET,538493,189407,London Overground,,,,Yes,,4,0.00,51.59,No
6956,WHITE HART LANE,533693,191333,London Overground,,,,Yes,,3,-0.07,51.60,No
6958,BRUCE GROVE,533800,190100,London Overground,,,,Yes,,3,-0.07,51.59,No
6959,ENFIELD TOWN,532968,196562,London Overground,,,,Yes,,5,-0.08,51.65,No
6961,BETHNAL GREEN LO,534721,182351,London Overground,,,,Yes,,2,-0.06,51.52,No
6962,CAMBRIDGE HEATH,534856,183270,London Overground,,,,Yes,,2,-0.06,51.53,No
6965,LIVERPOOL STREET NR,533094,181567,TfL Rail,,,Yes,,,1,-0.08,51.52,No
6966,LONDON FIELDS,534775,184246,London Overground,,,,Yes,,2,-0.06,51.54,No
6967,RECTORY ROAD,534011,186171,London Overground,,,,Yes,,2,-0.07,51.56,No
6968,STAMFORD HILL,533392,187955,London Overground,,,,Yes,,3,-0.07,51.57,No
6970,MARYLAND,539190,184924,TfL Rail,,,Yes,,,3,0.01,51.55,No
6972,SILVER STREET,533922,192445,London Overground,,,,Yes,,4,-0.07,51.61,No
6973,ST JAMES STREET,536402,188694,London Overground,,,,Yes,,3,-0.03,51.58,No
6977,HACKNEY CENTRAL,534837,184916,London Overground,,,,Yes,,3,-0.06,51.55,No
6978,HACKNEY WICK,537166,184589,London Overground,,,,Yes,,2,-0.02,51.54,No
6979,HOMERTON,535848,184939,London Overground,,,,Yes,,2,-0.04,51.55,No
7090,HEATHROW TERMINALS 2 & 3 EL,507586,175840,TfL Rail,,,Yes,,,6,-0.45,51.47,No
7091,HEATHROW TERMINAL 4 EL,508082,174430,TfL Rail,,,Yes,,,6,-0.44,51.46,No
7401,HARRINGAY GREEN LANES,531874,188183,London Overground,,,,Yes,,3,-0.10,51.58,No
7402,LEYTON MIDLAND ROAD,538191,187523,London Overground,,,,Yes,,3,-0.01,51.57,No
7403,LEYTONSTONE HIGH ROAD,539245,186921,London Overground,,,,Yes,,3,0.01,51.56,No
7404,SOUTH TOTTENHAM,533687,188621,London Overground,,,,Yes,,3,-0.07,51.58,No
7406,CROUCH HILL,530590,187513,London Overground,,,,Yes,,3,-0.12,51.57,No
7407,WALTHAMSTOW QUEEN'S ROAD,537018,188807,London Overground,,,,Yes,,3,-0.02,51.58,No
7408,WANSTEAD PARK,540570,185590,London Overground,,,,Yes,,3,0.03,51.55,No
7467,WOODGRANGE PARK,541821,185350,London Overground,,,,Yes,,"3,4",0.05,51.55,No
7473,EMERSON PARK,553962,187871,London Overground,,,,Yes,,6,0.22,51.57,No
8776,WEST CROYDON (TRAMLINK),532210,166142,Tramlink,Tramlink,,,,,5,-0.10,51.38,No
8777,WIMBLEDON (TRAMLINK),524838,170637,Tramlink,Tramlink,,,,,3,-0.20,51.42,No
8779,WOODSIDE,534701,167101,Tramlink,Tramlink,,,,,5,-0.06,51.39,No
9440,ADDISCOMBE,534188,166297,Tramlink,Tramlink,,,,,5,-0.07,51.38,No
9441,ADDINGTON VILLAGE,537066,163744,Tramlink,Tramlink,,,,,6,-0.03,51.36,No
9442,AMPERE WAY,530664,166485,Tramlink,Tramlink,,,,,4,-0.12,51.38,No
9443,ARENA,535194,167627,Tramlink,Tramlink,,,,,4,-0.06,51.39,No
9444,AVENUE ROAD,535745,169322,Tramlink,Tramlink,,,,,4,-0.05,51.41,No
9445,BECKENHAM JUNCTION (TRAMLINK),537365,169843,Tramlink,Tramlink,,,,,4,-0.02,51.41,No
9446,BECKENHAM ROAD,536190,169660,Tramlink,Tramlink,,,,,4,-0.04,51.41,No
9449,BEDDINGTON LANE,529316,167236,Tramlink,Tramlink,,,,,4,-0.14,51.39,No
9450,BELGRAVE WALK,526809,168456,Tramlink,Tramlink,,,,,4,-0.18,51.40,No
9454,BIRKBECK (TRAMLINK),535305,168963,Tramlink,Tramlink,,,,,4,-0.05,51.40,No
9459,BLACKHORSE LANE,534377,166865,Tramlink,Tramlink,,,,,5,-0.07,51.38,No
9460,CHURCH STREET,532037,165557,Tramlink,Tramlink,,,,,5,-0.10,51.37,No
9464,COOMBE LANE,535159,164090,Tramlink,Tramlink,,,,,5,-0.06,51.36,No
9468,DUNDONALD ROAD,524728,170256,Tramlink,Tramlink,,,,,3,-0.21,51.42,No
9470,EAST CROYDON (TRAMLINK),532851,165702,Tramlink,Tramlink,,,,,5,-0.09,51.37,No
9471,ELMERS END (TRAMLINK),535779,168391,Tramlink,Tramlink,,,,,4,-0.05,51.40,No
9472,FIELDWAY,537684,163173,Tramlink,Tramlink,,,,,6,-0.02,51.35,No
9473,GEORGE STREET,532408,165587,Tramlink,Tramlink,,,,,5,-0.10,51.37,No
9474,GRAVEL HILL,536373,163537,Tramlink,Tramlink,,,,,6,-0.04,51.35,No
9475,HARRINGTON ROAD,535017,168522,Tramlink,Tramlink,,,,,4,-0.06,51.40,No
9476,KING HENRY'S DRIVE,537977,162560,Tramlink,Tramlink,,,,,6,-0.02,51.34,No
9477,LEBANON ROAD,533348,165756,Tramlink,Tramlink,,,,,5,-0.08,51.37,No
9478,LLOYD PARK,533715,164541,Tramlink,Tramlink,,,,,5,-0.08,51.36,No
9479,MERTON PARK,525179,169835,Tramlink,Tramlink,,,,,3,-0.20,51.41,No
9480,MITCHAM,527331,168086,Tramlink,Tramlink,,,,,4,-0.17,51.40,No
9481,MITCHAM JUNCTION (TRAMLINK),528300,167568,Tramlink,Tramlink,,,,,4,-0.16,51.39,No
9482,MORDEN ROAD,525779,169309,Tramlink,Tramlink,,,,,4,-0.19,51.41,No
9484,NEW ADDINGTON,538198,162244,Tramlink,Tramlink,,,,,6,-0.02,51.34,No
9485,PHIPPS BRIDGE,526529,168725,Tramlink,Tramlink,,,,,4,-0.18,51.40,No
9486,REEVES CORNER,531903,165672,Tramlink,Tramlink,,,,,5,-0.10,51.37,No
9487,SANDILANDS,533890,165741,Tramlink,Tramlink,,,,,5,-0.08,51.37,No
9488,CENTRALE,532066,165786,Tramlink,Tramlink,,,,,5,-0.10,51.38,No
9491,THERAPIA LANE,530283,166842,Tramlink,Tramlink,,,,,4,-0.13,51.39,No
9497,WADDON MARSH,531090,165897,Tramlink,Tramlink,,,,,5,-0.12,51.38,No
9498,WANDLE PARK,531414,165512,Tramlink,Tramlink,,,,,5,-0.11,51.37,No
9499,WELLESLEY ROAD,532506,165769,Tramlink,Tramlink,,,,,5,-0.10,51.37,No
9586,IMPERIAL WHARF,526291,176691,London Overground,,,,Yes,,2,-0.18,51.47,No
9587,SHEPHERD'S BUSH NR,523720,179920,London Overground,,,,Yes,,2,-0.22,51.50,No
9846,HEATHROW TERMINAL 5 EL,505109,175924,TfL Rail,,,Yes,,,6,-0.49,51.47,No
